kegg_drug,pubchem_sid,pubchem_cid
D00562,7847628,657298
D00563,7847629,4205
D00565,7847631,3339
D00566,7847632,16760658
D00567,7847633,2662
D00568,7847634,5090
D00569,7847635,4754
D00574,7847640,2145
D00577,7847643,448537
D00579,7847645,44561
D00584,7847650,3385
D00585,7847651,55245
D00586,7847652,3397
D00593,7847659,3476
D00594,7847660,65981
D00596,7847662,5281055
D00598,7847664,107952
D00601,7847667,441308
D00604,7847670,20179
D00606,7847672,71401
D00607,7847673,68552
D00609,7847675,68546
D00611,7847677,13221
D00613,7847679,49659
D00615,7847681,60496
D00616,7847682,62920
D00617,7847683,41114
D00618,7847684,4499
D00619,7847685,62969
D00620,7847686,5362123
D00621,7847687,5388961
D00622,7847688,23667962
D00623,7847689,54889
D00624,7847690,441313
D00625,7847691,441314
D00627,7847693,65999
D00629,7847695,4507
D00630,7847696,27661
D00631,7847697,91725
D00632,7847698,65324
D00633,7847699,65340
D00635,7847701,62937
D00636,7847702,441325
D00638,7847704,41022
D00639,7847705,21467
D00640,7847706,36708
D00642,7847708,64642
D00645,7847711,6100
D00646,7847712,443879
D00647,7847713,71329
D00648,7847714,5281065
D00649,7847715,68540
D00650,7847716,2315
D00651,7847717,2343
D00652,7847718,68844
D00653,7847719,6918132
D00654,7847720,3647
D00655,7847721,4100
D00656,7847722,4121
D00658,7847724,5560
D00665,7847731,5281068
D00666,7847732,23724780
D00667,7847733,5965
D00670,7847736,5741
D00673,7847739,3033332
D00674,7847740,60875
D00675,7847741,77997
D00676,7847742,59772
D00677,7847743,6918003
D00678,7847744,59774
D00682,7847748,5281074
D00683,7847749,39859
D00684,7847750,35329
D00687,7847753,56801
D00688,7847754,441334
D00690,7847756,441336
D00691,7847757,3182
D00694,7847759,23706210
D00697,7847762,3373
D00703,7847768,3284
D00704,7847769,5281077
D00708,7847773,3292
D00709,7847774,5284583
D00711,7847776,15851
D00715,7847780,23724781
D00726,7847791,4168
D00730,7847795,2482
D00732,7847797,441348
D00733,7847798,3025
D00735,7847800,68304
D00738,7847803,66070
D00739,7847804,73957
D00740,7847805,5795
D00741,7847806,8695
D00749,7847814,3899
D00752,7847817,5281078
D00753,7847818,5497196
D00759,7847824,62886
D00760,7847825,60168
D00761,7847826,24244
D00762,7847827,441350
D00765,7847830,441351
D00769,7847834,115366
D00771,7847836,2733
D00775,7847840,5070
D00779,7847844,2381
D00780,7847845,31100
D00781,7847846,5281081
D00785,7847850,26758
D00786,7847851,4659569
D00790,7847855,667467
D00791,7847856,67356
D00798,7847863,66062
D00799,7847864,66064
D00805,7847870,5853
D00809,7847874,11065
D00810,7847875,54686350
D00812,7847877,65327
D00813,7847878,84003
D00816,7847881,441358
D00823,7847888,62857
D00826,7847891,23724784
D00827,7847892,5282387
D00829,7847894,441361
D00831,7847896,65329
D00837,7847902,5462346
D00838,7847903,3033053
D00845,7847910,65494
D00882,7847946,68553
D00884,7847948,72734318
D00885,7847949,9556529
D00887,7847951,60822
D00889,7847953,23663992
D00892,7847956,23679527
D00893,7847957,16759173
D00898,7847962,667476
D00900,7847964,78000
D00902,7847966,60855
D00903,7847967,23667642
D00904,7847968,5018304
D00930,7847993,5281104
D00947,7848010,441401
D00950,7848013,13109
D00951,7848014,6279
D00954,7848017,13109
D00956,7848019,229455
D00960,7848023,2187
D00961,7848024,2375
D00962,7848025,6420009
D00963,7848026,60198
D00964,7848027,3902
D00965,7848028,4493
D00968,7848031,64747
D00969,7848032,54677470
D00970,7848033,23681059
D00987,7848050,54746
D00994,7848057,8307
D00995,7848058,8246
D00996,7848059,441411
D00998,7848061,5824
D01001,7848064,8288
D01020,7848083,6081
D01022,7848085,66259
D01024,7848087,5362376
D01027,7848090,11953898
D01051,7848114,5265
D01061,7848124,60837
D01064,7848127,135400182
D01069,7848132,56329
D01071,7848134,3608
D01097,7848160,163727
D01103,7848166,107979
D01108,7848171,24843
D01111,7848174,5311309
D01115,7848178,443872
D01118,7848181,122824
D01119,7848182,443873
D01122,7848185,3673
D01126,7848189,66250
D01132,7848195,5381
D01133,7848196,4823
D01136,7848199,5526
D01161,7848224,104741
D01164,7848227,60795
D01180,7848243,656583
D01183,7848246,610479
D01196,7848259,13290219
D01198,7848261,60790
D01211,7848274,9051
D01217,7848280,60953
D01223,7848286,185462
D01227,7848290,27522
D01228,7848291,216322
D01236,7848299,28620
D01240,7848303,63030
D01242,7848305,92163
D01243,7848306,2789
D01253,7848316,2910
D01256,7848319,62770
D01264,7848327,216457
D01269,7848332,443939
D01275,7848338,158550
D01276,7848339,117965
D01287,7848350,9270
D01294,7848357,1547484
D01295,7848358,71405
D01297,7848360,4066
D01324,7848387,5468
D01325,7848388,5282408
D01332,7848395,2329
D01346,7848409,19648
D01350,7848413,5282415
D01352,7848415,68551
D01358,7848421,38911
D01364,7848427,9878
D01367,7848430,20279
D01370,7848433,65326
D01386,7848449,443958
