CID,MolecularWeight,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,Title,XLogP,XLogP_Source,Status,Formula,MW
2157,645.3,645.02369,42.7,547,0,0,4,11,31,0,0,0,0,0,0,0,1,379.3,10,3,0,0,1,3,3,1.4,11,10,Amiodarone,7.6,PubChem XLogP,OK,C25H29I2NO3,645.3
2161,298.29,298.0953569,103,467,0,2,6,2,22,0,0,0,0,0,0,0,1,224,10,3,1,1,1,3,1,0.6,2,2,Amlexanox,3.1,PubChem XLogP,OK,C16H14N2O4,298.29
2170,313.8,313.0981898,36.9,424,0,1,3,1,22,0,0,0,0,0,0,0,1,233.7,8,1,1,0,2,4,0,0.6,2.4,4,Amoxapine,2.6,PubChem XLogP,OK,C17H16ClN3O,313.8
2176,447.5,447.1100212,133,808,0,1,9,8,31,0,1,0,1,0,0,0,1,328.6,9,5,1,0,0,3,0,1,9.2,10,Ampiroxicam,4,PubChem XLogP,OK,C20H21N3O7S,447.5
2179,393.5,393.1147127,88.7,601,0,2,6,5,28,0,0,0,0,0,0,0,1,298.3,11,4,2,0,1,4,0,0.8,5,10,Amsacrine,4,PubChem XLogP,OK,C21H19N3O3S,393.5
2187,293.4,293.1640456,78.3,456,0,0,4,4,22,0,0,0,0,0,0,0,1,238.5,8,2,0,0,2,2,2,0.6,4,10,Anastrozole,2.1,PubChem XLogP,OK,C17H19N5,293.4
2244,180.16,180.0422587,63.6,212,0,1,4,3,13,0,0,0,0,0,0,0,1,136,5,3,0,1,0,1,0,0.6,3,10,Aspirin,1.2,PubChem XLogP,OK,C9H8O4,180.16
2247,458.6,458.2481898,42.3,599,0,1,5,8,34,0,0,0,0,0,0,0,1,367.3,9,1,1,0,2,5,0,1,9.2,10,Astemizole,6,PubChem XLogP,OK,C28H31FN4O,458.6
2249,266.34,266.1630426,84.6,263,0,3,4,8,19,0,1,0,1,0,0,0,1,214.2,9,3,3,0,1,1,1,1,8,10,Atenolol,0.2,PubChem XLogP,OK,C14H22N2O3,266.34
2266,188.22,188.104859,74.6,147,0,2,4,8,13,0,0,0,0,0,0,0,1,151.7,6,4,0,2,0,0,0,0.8,8,10,Azelaic Acid,1.6,PubChem XLogP,OK,C9H16O4,188.22
2284,213.66,213.0556563,63.3,191,0,2,3,4,14,0,1,0,1,0,0,0,1,160.8,6,2,1,1,1,1,0,0.6,4,10,Baclofen,-1,PubChem XLogP,OK,C10H12ClNO2,213.66
2315,421.4,421.0377828,135,740,0,3,10,3,27,0,1,0,1,0,0,0,1,281.4,11,4,3,0,1,3,0,0.8,4.6,10,Bendroflumethiazide,1.2,PubChem XLogP,OK,C15H14F3N3O4S2,421.4
2329,404.4,404.1372217,116,588,0,4,5,7,30,0,1,0,1,0,0,0,1,312.4,11,4,3,1,0,3,0,1,9,10,4-((2-(Benzoylamino)-3-(4-hydroxyphenyl)-1-oxopropyl)amino)benzoic acid,3.3,PubChem XLogP,OK,C23H20N2O5,404.4
2337,165.19,165.0789786,52.3,151,0,1,3,3,12,0,0,0,0,0,0,0,1,133.6,4,1,1,0,1,1,0,0.6,3,7,Benzocaine,1.9,PubChem XLogP,OK,C9H11NO2,165.19
2343,431.9,430.9834972,161,739,0,2,7,5,26,0,0,0,0,0,0,0,1,293.2,10,4,3,0,0,3,0,0.8,5.2,10,Benzthiazide,1.7,PubChem XLogP,OK,C15H14ClN3O4S3,431.9
2375,430.4,430.0610408,116,750,0,2,9,5,29,0,1,0,1,0,0,0,1,302.2,9,5,2,0,0,2,0,0.8,7,10,Bicalutamide,2.3,PubChem XLogP,OK,C18H14F4N2O4S,430.4
2381,311.5,311.2249145,23.5,422,0,1,2,5,23,0,4,0,4,0,0,0,1,257.2,6,1,1,0,1,3,0,0.8,6.8,10,Biperiden,4.3,PubChem XLogP,OK,C21H29NO,311.5
2405,325.4,325.2253085,60,278,0,2,5,12,23,0,1,0,1,0,0,0,1,268.1,10,4,2,0,1,1,2,1.2,12,10,Bisoprolol,1.9,PubChem XLogP,OK,C18H31NO4,325.4
2479,212.25,212.1160924,75.3,292,0,2,3,3,15,0,1,0,1,0,0,0,1,160.5,9,3,2,0,0,1,3,0.6,3.6,9,Butabarbital,1.6,PubChem XLogP,OK,C10H16N2O3,212.25
2482,193.24,193.1102787,52.3,174,0,1,3,5,14,0,0,0,0,0,0,0,1,159,5,1,1,0,1,1,1,0.6,5,10,Butyl 4-aminobenzoate,2.9,PubChem XLogP,OK,C11H15NO2,193.24
2519,194.19,194.0803756,58.4,293,0,0,3,0,14,0,0,0,0,0,0,0,1,143.9,5,2,0,0,1,2,0,0.4,0,1,Caffeine,-0.1,PubChem XLogP,OK,C8H10N4O2,194.19
2520,454.6,454.2831577,64,606,0,0,6,13,33,0,1,0,1,0,0,0,1,372.3,10,5,0,0,1,2,2,1.2,13,10,Verapamil,3.8,PubChem XLogP,OK,C27H38N2O4,454.6
2541,440.5,440.1596885,119,660,0,2,7,7,33,0,0,0,0,0,0,0,1,337.3,10,2,0,1,2,5,0,1,7,10,Candesartan,4.1,PubChem XLogP,OK,C24H20N6O3,440.5
2554,236.27,236.094963,46.3,326,0,1,1,0,18,0,0,0,0,0,0,0,1,186.8,5,1,1,0,0,3,0,0.6,1.2,2,Carbamazepine,2.5,PubChem XLogP,OK,C15H12N2O,236.27
2585,406.5,406.1892573,75.7,508,0,3,5,10,30,0,1,0,1,0,0,0,1,321.6,13,4,3,0,2,4,0,1.2,10,10,Carvedilol,4.2,PubChem XLogP,OK,C24H26N2O4,406.5
2662,381.4,381.0758824,86.4,577,0,1,7,3,26,0,0,0,0,0,0,0,1,273.5,7,3,1,0,0,3,0,0.8,4,4,Celecoxib,3.4,PubChem XLogP,OK,C17H14F3N3O2S,381.4
2720,295.7,294.9488257,135,532,0,2,6,1,17,0,0,0,0,0,0,0,1,184.7,9,4,3,0,0,2,0,0.6,1.2,2,Chlorothiazide,-0.2,PubChem XLogP,OK,C7H6ClN3O4S2,295.7
2726,318.9,318.0957475,31.8,339,0,0,3,4,21,0,0,0,0,0,0,0,1,245.9,5,0,0,0,2,3,0,0.6,4.4,10,Chlorpromazine,5.2,PubChem XLogP,OK,C17H19ClN2S,318.9
2733,169.56,168.9930561,38.3,185,0,1,2,0,11,0,0,0,0,0,0,0,1,118.7,4,1,1,0,0,2,0,0.4,0,1,Chlorzoxazone,1.8,PubChem XLogP,OK,C7H4ClNO2,169.56
2756,252.34,252.1157157,114,296,0,3,4,7,17,0,0,0,0,0,0,0,1,196.4,7,1,3,0,2,1,0,1,7,10,Cimetidine,0.4,PubChem XLogP,OK,C10H16N6S,252.34
2764,331.34,331.1332196,72.9,571,0,2,7,3,24,0,0,0,0,0,0,0,1,248,11,3,1,1,3,3,0,0.8,4.8,5,Ciprofloxacin,-1.1,PubChem XLogP,OK,C17H18FN3O3,331.34
2769,465.9,465.1830623,86.1,581,0,2,7,9,32,0,2,0,2,0,0,0,1,351,11,4,2,0,2,3,0,1.4,11.2,10,Cisapride (USP/INN),3.4,PubChem XLogP,OK,C23H29ClFN3O4,465.9
2789,300.74,300.0665554,40.6,423,0,0,2,1,21,0,0,0,0,0,0,0,1,224.3,6,2,0,1,0,3,0,0.6,1.6,2,Clobazam,2.1,PubChem XLogP,OK,C16H13ClN2O2,300.74
2796,242.7,242.070972,35.5,232,0,0,3,5,16,0,0,0,0,0,0,0,1,185.1,4,2,0,0,0,1,1,0.6,5,10,Clofibrate,3.3,PubChem XLogP,OK,C12H15ClO3,242.7
2803,230.09,229.0173527,36.4,222,0,2,1,2,14,0,0,0,0,0,0,0,1,160.5,5,0,2,0,1,2,0,0.6,2.6,4,Clonidine,1.6,PubChem XLogP,OK,C9H9Cl2N3,230.09
2910,389.9,389.027076,135,758,0,3,7,2,24,0,4,0,4,0,0,0,1,262.3,11,4,3,0,1,3,0,0.6,3.2,10,Cyclothiazide,2,PubChem XLogP,OK,C14H16ClN3O4S2,389.9
2973,560.7,560.3533625,206,739,0,6,9,23,39,0,0,0,0,0,0,0,1,,,,,,,,,,,0,Deferoxamine,-2.1,PubChem XLogP,OK,C25H48N6O8,560.7
3016,284.74,284.0716407,32.7,403,0,0,2,1,20,0,0,0,0,0,0,0,1,217.3,5,2,0,0,0,3,0,0.6,1.4,2,Diazepam,3,PubChem XLogP,OK,C16H13ClN2O,284.74
3019,230.67,229.9916763,66.9,360,0,1,3,0,14,0,0,0,0,0,0,0,1,155.9,6,2,2,0,0,2,0,0.4,0.2,1,Diazoxide,1.2,PubChem XLogP,OK,C8H7ClN2O2S,230.67
3025,343.5,343.2259772,54.5,387,0,1,4,10,25,0,0,0,0,0,0,0,1,282.3,6,1,1,0,1,2,1,1,11,10,Dibucaine,4.4,PubChem XLogP,OK,C20H29N3O2,343.5
3038,305.2,303.9146044,137,452,0,2,6,2,16,0,0,0,0,0,0,0,1,187.1,7,4,2,0,0,1,0,0.6,2,4,Dichlorphenamide,0.3,PubChem XLogP,OK,C6H6Cl2N2O4S2,305.2
3055,309.4,309.2092645,23.5,307,0,1,2,6,23,0,0,0,0,0,0,0,1,258.2,6,1,1,0,1,3,0,0.8,7.2,10,Diphenidol,4.2,PubChem XLogP,OK,C21H27NO,309.4
3059,250.2,250.0441504,57.5,311,0,2,5,2,18,0,0,0,0,0,0,0,1,182.7,6,2,1,1,0,2,0,0.6,2,6,Diflunisal,4.4,PubChem XLogP,OK,C13H8F2O3,250.2
