CID,MolecularWeight,MonoisotopicMass,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,IsotopeAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,Volume3D,FeatureCount3D,FeatureAcceptorCount3D,FeatureDonorCount3D,FeatureAnionCount3D,FeatureCationCount3D,FeatureRingCount3D,FeatureHydrophobeCount3D,ConformerModelRMSD3D,EffectiveRotorCount3D,ConformerCount3D,Title,XLogP,XLogP_Source,Status,Formula,MW
3759,231.25,231.1007767,67.2,254,0,2,4,4,17,0,0,0,0,0,0,0,1,182.2,6,2,2,0,0,2,0,0.6,5,10,Isocarboxazid,1.5,PubChem XLogP,OK,C12H13N3O2,231.25
3762,239.31,239.1521435,72.7,223,0,4,4,5,17,0,2,0,2,0,0,0,1,192.2,9,1,4,0,1,1,2,0.6,5,10,Isoetharine,1.7,PubChem XLogP,OK,C13H21NO3,239.31
3763,184.49,183.9714332,9.2,102,0,0,6,2,10,0,1,0,1,0,0,0,1,104.8,1,1,0,0,0,0,0,0.6,3,9,Isoflurane,2.1,PubChem XLogP,OK,C3H2ClF5O,184.49
3784,371.4,371.1481208,104,685,0,1,8,6,27,0,1,0,1,0,0,0,1,284.4,10,4,1,0,1,3,1,0.8,6.4,10,Isradipine,4.3,PubChem XLogP,OK,C19H21N3O5,371.4
3825,254.28,254.0942943,54.4,331,0,1,3,4,19,0,1,0,1,0,0,0,1,204,7,3,0,1,0,2,1,0.6,4,10,Ketoprofen,3.1,PubChem XLogP,OK,C16H14O3,254.28
3878,256.09,255.0078506,90.7,242,0,2,5,1,16,0,0,0,0,0,0,0,1,172.7,6,0,2,0,2,2,0,0.6,1,3,Lamotrigine,1.4,PubChem XLogP,OK,C9H7Cl2N5,256.09
3899,270.21,270.061612,55.1,327,0,1,6,2,19,0,0,0,0,0,0,0,1,191.2,5,2,1,0,0,2,0,0.6,4,5,Leflunomide,2.5,PubChem XLogP,OK,C12H9F3N2O2,270.21
3902,285.3,285.1014454,78.3,420,0,0,4,3,22,0,0,0,0,0,0,0,1,227.8,7,2,0,0,2,3,0,0.6,3,10,Letrozole,2.7,PubChem XLogP,OK,C17H11N5,285.3
3957,382.9,382.1448057,42.4,569,0,0,3,2,27,0,0,0,0,0,0,0,1,293.6,6,2,0,0,0,4,0,0.8,4.4,10,Loratadine,5.2,PubChem XLogP,OK,C22H23ClN2O2,382.9
3964,327.8,327.1138399,28.1,450,0,0,3,1,23,0,0,0,0,0,0,0,1,247.6,7,1,0,0,2,4,0,0.6,2.4,8,Loxapine,3.1,PubChem XLogP,OK,C18H18ClN3O,327.8
4011,277.4,277.1830497,12,339,0,1,1,4,21,0,0,0,0,0,0,0,1,225.9,5,0,1,0,1,3,0,0.6,4.4,8,Maprotiline,4.6,PubChem XLogP,OK,C20H23N,277.4
4020,284.74,284.0716407,35.8,419,0,1,2,1,20,0,1,0,1,0,0,0,1,215.5,7,1,1,0,1,4,0,0.6,1.6,4,Mazindol,2.2,PubChem XLogP,OK,C16H13ClN2O,284.74
4037,296.1,295.016684,49.3,327,0,2,3,3,19,0,0,0,0,0,0,0,1,213.7,7,2,1,1,1,2,0,0.6,3,10,Meclofenamic Acid,5.2,PubChem XLogP,OK,C14H11Cl2NO2,296.1
4044,241.28,241.1102787,49.3,292,0,2,3,3,18,0,0,0,0,0,0,0,1,195.5,7,2,1,1,1,2,0,0.6,3,10,Mefenamic Acid,5.1,PubChem XLogP,OK,C15H15NO2,241.28
4055,172.18,172.0524295,34.1,288,0,0,2,0,13,0,0,0,0,0,0,0,1,137.9,4,2,0,0,0,2,0,0.4,0,1,Menadione,2.2,PubChem XLogP,OK,C11H8O2,172.18
4066,322.5,322.1503699,31.8,398,0,0,3,2,23,0,1,0,1,0,0,0,1,254.3,6,0,0,0,2,4,0,0.6,3.6,3,Mequitazine,4.6,PubChem XLogP,OK,C20H22N2S,322.5
4075,153.14,153.0425931,83.6,160,0,3,4,1,11,0,0,0,0,0,0,0,1,113.7,7,2,2,1,1,1,0,0.4,1,3,5-Aminosalicylic Acid,1.3,PubChem XLogP,OK,C7H7NO3,153.14
4078,386.6,386.1486558,68.1,502,0,0,5,4,26,0,2,0,2,0,0,0,1,301.5,7,1,0,0,2,4,0,0.8,5.6,10,Mesoridazine,4.5,PubChem XLogP,OK,C21H26N2OS2,386.6
4091,129.16,129.1014454,91.5,132,0,3,1,2,9,0,0,0,0,0,0,0,1,97.4,5,0,3,0,2,0,0,0.4,2,8,Metformin,-1.3,PubChem XLogP,OK,C4H11N5,129.16
4100,236.3,236.0037825,139,419,0,1,6,1,14,0,0,0,0,0,0,0,1,158.3,7,4,2,0,0,1,0,0.6,2,6,Methazolamide,0.1,PubChem XLogP,OK,C5H8N4O3S2,236.3
4114,216.19,216.0422587,48.7,325,0,0,4,1,16,0,0,0,0,0,0,0,1,163.1,6,3,0,0,0,3,0,0.6,1,1,8-Methoxypsoralen,1.9,PubChem XLogP,OK,C12H8O4,216.19
4116,164.96,163.9607265,9.2,75,0,0,3,2,8,0,0,0,0,0,0,0,1,99.2,1,1,0,0,0,0,0,0.4,2,5,Methoxyflurane,2.2,PubChem XLogP,OK,C3H4Cl2F2O,164.96
4121,360.2,358.9568036,126,571,0,2,7,2,20,0,1,0,1,0,0,0,1,229.7,9,4,2,0,1,2,0,0.6,2.6,10,Methyclothiazide,1.4,PubChem XLogP,OK,C9H11Cl2N3O4S2,360.2
4158,233.31,233.1415788,38.3,249,0,1,3,4,17,0,2,0,2,0,0,0,1,188.4,5,1,1,0,1,2,0,0.6,5.2,10,Methylphenidate,0.2,PubChem XLogP,OK,C14H19NO2,233.31
4168,299.79,299.1400546,67.6,300,0,2,4,7,20,0,0,0,0,0,0,0,1,230.3,7,2,2,0,2,1,0,0.8,8,10,Metoclopramide,2.6,PubChem XLogP,OK,C14H22ClN3O2,299.79
4171,267.36,267.1834437,50.7,215,0,2,4,9,19,0,1,0,1,0,0,0,1,220.6,8,3,2,0,1,1,1,1,9,10,Metoprolol,1.9,PubChem XLogP,OK,C15H25NO3,267.36
4174,226.27,226.1106131,42.9,275,0,0,3,3,17,0,0,0,0,0,0,0,1,183.3,6,3,0,0,0,2,1,0.6,3,10,Metyrapone,2,PubChem XLogP,OK,C14H14N2O,226.27
4189,416.1,413.986024,27.1,417,0,0,2,6,25,0,1,0,1,0,0,0,1,292.2,5,1,0,0,1,3,0,0.8,6,10,Miconazole,5.3,PubChem XLogP,OK,C18H14Cl4N2O,416.1
4192,325.8,325.0782033,30.2,471,0,0,3,1,23,0,0,0,0,0,0,0,1,242.5,6,1,0,0,1,4,0,0.6,1.2,8,Midazolam,2.5,PubChem XLogP,OK,C18H13ClFN3,325.8
4197,211.22,211.0745619,65.8,419,0,1,3,1,16,0,0,0,0,0,0,0,1,166.2,6,3,1,0,0,2,0,0.6,1,1,Milrinone,0,PubChem XLogP,OK,C12H9N3O,211.22
4201,209.25,209.1276601,88.9,329,0,3,3,1,15,0,0,0,0,0,0,0,1,154.3,6,0,2,0,2,2,0,0.6,2.2,4,Minoxidil,1.2,PubChem XLogP,OK,C9H15N5O,209.25
4205,265.35,265.1578976,19.4,345,0,0,3,0,20,0,1,0,1,0,0,0,1,208.5,7,1,0,0,2,4,0,0.6,1,4,Mirtazapine,3.3,PubChem XLogP,OK,C17H19N3,265.35
4235,268.74,268.0978555,41.6,262,0,1,3,4,18,0,0,0,0,0,0,0,1,203.7,6,2,1,0,1,2,0,0.8,6.2,10,Moclobemide,1.5,PubChem XLogP,OK,C13H17ClN2O2,268.74
4237,339.3,339.1106726,81.8,430,0,1,6,6,25,0,0,0,0,0,0,0,1,264.1,9,5,0,1,0,3,0,0.8,6,10,Mofezolac,3.1,PubChem XLogP,OK,C19H17NO5,339.3
4409,228.29,228.1150297,26.3,262,0,0,2,4,17,0,0,0,0,0,0,0,1,189.8,4,2,0,0,0,2,0,0.6,4,10,Nabumetone,3.1,PubChem XLogP,OK,C15H16O2,228.29
4421,232.23,232.0847923,70.5,378,0,1,5,2,17,0,0,0,0,0,0,0,1,176.7,8,4,0,1,1,2,0,0.6,2,2,Nalidixic Acid,1.4,PubChem XLogP,OK,C12H12N2O3,232.23
4485,346.3,346.1164863,110,608,0,1,7,5,25,0,0,0,0,0,0,0,1,257.8,9,4,1,1,1,2,0,0.8,6.4,9,Nifedipine,2.2,PubChem XLogP,OK,C17H18N2O6,346.3
4493,317.22,317.0623403,95.2,515,0,1,7,1,22,0,0,0,0,0,0,0,1,215.1,9,4,1,1,0,2,1,0.6,3.6,6,Nilutamide,2,PubChem XLogP,OK,C12H10F3N3O4,317.22
4497,418.4,418.1740012,120,736,0,1,8,9,30,0,1,0,1,0,0,0,1,321.8,11,5,1,1,1,2,1,1,10.4,10,Nimodipine,3.1,PubChem XLogP,OK,C21H26N2O7,418.4
4499,388.4,388.1634365,110,704,0,1,7,7,28,0,1,0,1,0,0,0,1,296.2,10,4,1,1,1,2,1,1,8.4,10,Nisoldipine,3.3,PubChem XLogP,OK,C20H24N2O6,388.4
4507,360.4,360.1321364,110,661,0,1,7,6,26,0,1,0,1,0,0,0,1,274.7,9,4,1,1,1,2,0,0.8,7.4,10,Nitrendipine,2.9,PubChem XLogP,OK,C18H20N2O6,360.4
4510,227.09,227.0025788,165,218,0,0,9,5,15,0,0,0,0,0,0,0,1,146.5,6,6,0,0,0,0,0,0.8,8,10,Nitroglycerin,1.6,PubChem XLogP,OK,C3H5N3O9,227.09
4594,345.4,345.1147127,96.3,453,0,1,6,5,24,0,1,0,1,0,0,0,1,263.2,9,4,1,0,1,3,0,0.8,5,10,Prilosec,2.2,PubChem XLogP,OK,C17H19N3O3S,345.4
4595,293.4,293.1528122,39.8,440,0,0,2,2,22,0,1,0,1,0,0,0,1,232.5,7,1,0,0,2,4,0,0.6,2.6,10,Ondansetron,2.3,PubChem XLogP,OK,C18H19N3O,293.4
4614,293.3,293.1051933,63.3,361,0,1,4,5,22,0,0,0,0,0,0,0,1,234.6,6,2,0,1,0,3,0,0.8,5,10,Oxaprozin,4.2,PubChem XLogP,OK,C18H15NO3,293.3
4616,286.71,286.0509053,61.7,407,0,2,3,1,20,0,1,0,1,0,0,0,1,211.6,8,3,2,0,0,3,0,0.6,1.4,2,Oxazepam,2.2,PubChem XLogP,OK,C15H11ClN2O2,286.71
4634,357.5,357.2303939,49.8,490,0,1,4,8,26,0,1,0,1,0,0,0,1,292,6,2,1,0,1,2,0,1.2,9.2,10,Oxybutynin,4.2,PubChem XLogP,OK,C22H31NO3,357.5
4679,383.4,383.0751335,106,490,0,1,9,7,26,0,1,0,1,0,0,0,1,274.3,10,5,1,0,1,3,0,0.8,7,10,Pantoprazole,2.4,PubChem XLogP,OK,C16H15F2N3O4S,383.4
4737,226.27,226.1317424,75.3,305,0,2,3,4,16,0,1,0,1,0,0,0,1,173.4,9,3,2,0,0,1,3,0.6,4.6,10,Pentobarbital,2.1,PubChem XLogP,OK,C11H18N2O3,226.27
4740,278.31,278.1378905,75.5,426,0,0,4,5,20,0,0,0,0,0,0,0,1,214.1,6,3,0,0,1,2,0,0.8,5,10,Pentoxifylline,0.3,PubChem XLogP,OK,C13H18N4O3,278.31
4748,404,403.1485113,55.3,463,0,1,5,6,27,0,0,0,0,0,0,0,1,308.9,9,1,1,0,3,4,0,0.8,7.6,10,Perphenazine,4.2,PubChem XLogP,OK,C21H26ClN3OS,404
4753,178.19,178.0742276,72.2,198,0,2,2,2,13,0,0,0,0,0,0,0,1,140.1,5,2,2,0,0,1,0,0.6,4,10,Phenacemide,0.9,PubChem XLogP,OK,C9H10N2O2,178.19
4754,179.22,179.0946287,38.3,162,0,1,2,3,13,0,0,0,0,0,0,0,1,145.6,4,2,1,0,0,1,0,0.6,4,8,Phenacetin,1.6,PubChem XLogP,OK,C10H13NO2,179.22
4763,232.23,232.0847923,75.3,339,0,2,3,2,17,0,0,0,0,0,0,0,1,175.4,8,3,2,0,0,2,1,0.6,2.6,4,Phenobarbital,1.5,PubChem XLogP,OK,C12H12N2O3,232.23
4771,149.23,149.1204495,26,112,0,1,1,2,11,0,0,0,0,0,0,0,1,130.7,4,0,1,0,1,1,1,0.4,2,4,Phentermine,1.9,PubChem XLogP,OK,C10H15N,149.23
4781,308.4,308.1524779,40.6,389,0,0,2,5,23,0,0,0,0,0,0,0,1,248.3,7,2,0,1,0,3,1,0.8,5.6,10,Phenylbutazone,3.2,PubChem XLogP,OK,C19H20N2O2,308.4
4823,334.4,334.1429758,79.4,530,0,2,4,3,25,0,1,0,1,0,0,0,1,260.5,10,3,2,0,1,4,0,0.8,3.6,7,Pimobendan,2.7,PubChem XLogP,OK,C19H18N4O2,334.4
4828,248.32,248.1524779,57.3,248,0,3,3,6,18,0,1,0,1,0,0,0,1,201,10,2,3,0,2,2,1,0.8,6,10,Pindolol,1.8,PubChem XLogP,OK,C14H20N2O2,248.32
4888,255.27,255.0895433,59.4,346,0,1,4,2,19,0,1,0,1,0,0,0,1,196.5,9,4,0,1,0,3,1,0.6,2.4,5,Pranoprofen,2.7,PubChem XLogP,OK,C15H13NO3,255.27
4906,220.31,220.1575633,41.1,218,0,2,2,5,16,0,1,0,1,0,0,0,1,185.5,6,1,2,0,1,1,1,0.8,6,10,Prilocaine,2.1,PubChem XLogP,OK,C13H20N2O,220.31
4909,218.25,218.1055277,58.2,279,0,2,2,2,16,0,0,0,0,0,0,0,1,167.4,7,2,2,0,0,2,1,0.6,2.8,6,Primidone,0.9,PubChem XLogP,OK,C12H14N2O2,218.25
4911,285.36,285.1034793,83.1,374,0,1,5,7,19,0,0,0,0,0,0,0,1,217.6,8,4,0,1,0,1,2,0.8,7,10,Probenecid,3.2,PubChem XLogP,OK,C13H19NO4S,285.36
4917,373.9,373.1379466,35,429,0,0,4,4,25,0,0,0,0,0,0,0,1,287.8,7,0,0,0,3,4,0,0.8,5.6,10,Prochlorperazine,4.9,PubChem XLogP,OK,C20H24ClN3S,373.9
4927,284.4,284.1347198,31.8,298,0,0,3,3,20,0,1,0,1,0,0,0,1,229.6,5,0,0,0,2,3,0,0.6,3.4,5,Promethazine,4.8,PubChem XLogP,OK,C17H20N2S,284.4
4940,340.5,340.1609346,48.9,441,0,0,4,5,24,0,1,0,1,0,0,0,1,274.2,7,1,0,0,2,3,1,0.8,5.4,10,Propiomazine,4.8,PubChem XLogP,OK,C20H24N2OS,340.5
4943,178.27,178.1357652,20.2,135,0,1,1,2,13,0,0,0,0,0,0,0,1,154.3,4,0,1,0,0,1,2,0.6,2,3,Propofol,3.8,PubChem XLogP,OK,C12H18O,178.27
4993,248.71,248.0828741,77.8,243,0,2,4,2,17,0,0,0,0,0,0,0,1,187,6,0,2,0,1,2,1,0.6,2,1,Pyrimethamine,2.7,PubChem XLogP,OK,C12H13ClN4,248.71
5070,234.2,234.0074685,76.4,238,0,1,7,1,15,0,0,0,0,0,0,0,1,155.7,5,1,1,0,1,2,0,0.6,2,4,Riluzole,3.6,PubChem XLogP,OK,C8H5F3N2OS,234.2
5073,410.5,410.2118043,61.9,731,0,0,6,4,30,0,0,0,0,0,0,0,1,317,8,2,0,0,1,5,0,0.8,6,10,Risperidone,2.7,PubChem XLogP,OK,C23H27FN4O2,410.5
5090,314.4,314.0612801,68.8,556,0,0,4,3,22,0,0,0,0,0,0,0,1,239.4,6,3,0,0,0,3,0,0.6,3.4,8,Rofecoxib,2.3,PubChem XLogP,OK,C17H14O4S,314.4
5147,137.14,137.0476785,63.3,136,0,2,2,1,10,0,0,0,0,0,0,0,1,105.7,4,1,2,0,0,1,0,0.4,1,4,Salicylamide,1.3,PubChem XLogP,OK,C7H7NO2,137.14
5152,415.6,415.2722587,82,403,0,4,5,16,30,0,1,0,1,0,0,0,1,,,,,,,,,,,0,Salmeterol,3.9,PubChem XLogP,OK,C25H37NO4,415.6
5206,200.05,200.0072119,9.2,121,0,0,8,2,12,0,0,0,0,0,0,0,1,112.5,1,1,0,0,0,0,0,0.6,4,3,Sevoflurane,2.8,PubChem XLogP,OK,C4H3F7O,200.05
5265,395.5,395.2009052,52.7,577,0,1,5,6,29,0,0,0,0,0,0,0,1,309.3,9,2,1,0,2,4,0,1,7.6,10,Spiperone,3,PubChem XLogP,OK,C23H26FN3O2,395.5
5278,391.2,390.00153,70,542,0,1,5,4,24,0,0,0,0,0,0,0,1,259.9,9,4,0,1,0,3,1,0.8,4,10,Ponalrestat,3.2,PubChem XLogP,OK,C17H12BrFN2O3,391.2
5339,398.4,398.0684907,150,657,0,3,9,6,28,0,0,0,0,0,0,0,1,291.7,11,5,2,1,0,3,0,0.8,6,10,Sulfasalazine,-0.7,PubChem XLogP,OK,C18H14N4O5S,398.4
5342,404.5,404.1194637,76.9,571,0,0,4,6,29,0,1,0,1,0,0,0,1,313.9,8,3,0,1,0,4,0,0.8,6.6,10,Sulfinpyrazone,2.3,PubChem XLogP,OK,C23H20N2O3S,404.5
5358,295.4,295.1354481,73.6,405,0,2,4,6,20,0,0,0,0,0,0,0,1,228.4,8,2,2,0,2,2,0,0.8,6,10,Sumatriptan,0.9,PubChem XLogP,OK,C14H21N3O2S,295.4
5359,260.31,260.0507154,82.6,321,0,1,4,4,18,0,1,0,1,0,0,0,1,200.5,7,3,0,1,0,2,1,0.6,4,10,Suprofen,3.3,PubChem XLogP,OK,C14H12O3S,260.31
5381,351.5,351.1293001,64.5,547,0,0,4,5,25,0,0,0,0,0,0,0,1,284.6,6,2,0,0,0,3,1,0.8,3.8,4,Tazarotene,4.9,PubChem XLogP,OK,C21H21NO2S,351.5
5405,471.7,471.3137296,43.7,582,0,2,3,9,35,0,1,0,1,0,0,0,1,390.3,10,2,2,0,1,4,1,1,10.2,10,Terfenadine,6.6,PubChem XLogP,OK,C32H41NO2,471.7
5440,399.6,399.1802903,60.3,455,0,0,5,6,27,0,0,0,0,0,0,0,1,316.1,8,0,0,0,3,4,1,0.8,7.6,10,Thiethylperazine,5.4,PubChem XLogP,OK,C22H29N3S2,399.6
5452,370.6,370.1537412,57.1,432,0,0,4,4,25,0,1,0,1,0,0,0,1,293.1,7,0,0,0,2,4,1,0.8,5.6,10,Thioridazine,5.9,PubChem XLogP,OK,C21H26N2S2,370.6
5468,260.31,260.0507154,82.6,323,0,1,4,4,18,0,1,0,1,0,0,0,1,201.1,7,3,0,1,0,2,1,0.6,4,10,Tiaprofenic Acid,3.3,PubChem XLogP,OK,C14H12O3S,260.31
5503,311.4,311.1303627,86.9,431,0,2,4,3,21,0,0,0,0,0,0,0,1,234.7,7,3,2,0,0,2,0,0.8,6.4,10,Tolazamide,1.5,PubChem XLogP,OK,C14H21N3O3S,311.4
5505,270.35,270.1038136,83.7,354,0,2,3,5,18,0,0,0,0,0,0,0,1,207,7,3,2,0,0,1,1,0.8,7,10,Tolbutamide,2.3,PubChem XLogP,OK,C12H18N2O3S,270.35
5509,257.28,257.1051933,59.3,347,0,1,3,4,19,0,0,0,0,0,0,0,1,205.5,7,3,0,1,1,2,0,0.6,4,10,Tolmetin,2.8,PubChem XLogP,OK,C15H15NO3,257.28
5526,157.21,157.1102787,63.3,139,0,2,3,2,11,0,0,0,0,0,0,0,1,124.3,6,2,1,1,1,1,0,0.6,3.2,10,4-(Aminomethyl)cyclohexanecarboxylic acid,-2,PubChem XLogP,OK,C8H15NO2,157.21
5556,343.2,342.0439018,43.1,472,0,0,3,1,23,0,0,0,0,0,0,0,1,248,7,1,0,0,2,4,0,0.6,1.2,7,Triazolam,2.4,PubChem XLogP,OK,C17H12Cl2N4,343.2
5560,380.7,378.902181,135,571,0,3,7,2,20,0,1,0,1,0,0,0,1,231.2,10,4,3,0,1,2,0,0.6,2.6,7,Trichlormethiazide,0.6,PubChem XLogP,OK,C8H8Cl3N3O4S2,380.7
5576,143.14,143.0582431,46.6,197,0,0,3,0,10,0,0,0,0,0,0,0,1,109.2,4,2,0,0,0,1,1,0.4,0.6,1,Trimethadione,0.3,PubChem XLogP,OK,C6H9NO3,143.14
5578,290.32,290.1378905,106,307,0,2,7,5,21,0,0,0,0,0,0,0,1,219.9,8,3,2,0,1,2,0,0.8,5,10,Trimethoprim,0.9,PubChem XLogP,OK,C14H18N4O3,290.32
5583,369.4,369.1800896,118,457,0,3,8,6,27,0,0,0,0,0,0,0,1,281.5,11,3,3,0,2,3,0,0.8,6,10,Trimetrexate,2.5,PubChem XLogP,OK,C19H23N5O3,369.4
5584,294.4,294.2095988,6.5,317,0,0,2,4,22,0,1,0,1,0,0,0,1,244.4,6,0,0,0,2,3,1,0.8,4.6,10,Trimipramine,5.8,PubChem XLogP,OK,C20H26N2,294.4
5593,284.35,284.1524779,53.4,310,0,1,3,6,21,0,1,0,1,0,0,0,1,229,6,3,1,0,0,2,0,0.8,7,10,Tropicamide,1.5,PubChem XLogP,OK,C17H20N2O2,284.35
5663,395.5,395.1845063,71.1,593,0,1,5,4,29,0,0,0,0,0,0,0,1,306,10,4,1,0,1,4,0,0.8,6.8,10,Vesnarinone,2.1,PubChem XLogP,OK,C22H25N3O4,395.5
5665,129.16,129.0789786,63.3,112,0,2,3,4,9,0,1,0,1,0,0,0,1,105.4,6,2,1,1,1,0,1,0.6,4,10,Vigabatrin,-2.2,PubChem XLogP,OK,C6H11NO2,129.16
5717,575.7,575.209007,124,1010,0,2,6,9,41,0,0,0,0,0,0,0,1,440.7,13,5,2,0,1,5,0,1.4,12,10,Zafirlukast,5.5,PubChem XLogP,OK,C31H33N3O6S,575.7
5719,305.33,305.1276601,74.3,487,0,0,4,3,23,0,0,0,0,0,0,0,1,239.2,7,4,0,0,0,3,0,0.6,4,10,Zaleplon,1,PubChem XLogP,OK,C17H15N5O,305.33
5720,298.4,298.0663655,79.7,422,0,1,4,2,21,0,1,0,1,0,0,0,1,229.2,8,3,0,1,0,3,1,0.6,2.4,8,Zaltoprofen,3.5,PubChem XLogP,OK,C17H14O3S,298.4
5724,441.6,439.95748,77.9,595,0,1,5,4,26,0,0,0,0,0,0,0,1,283.2,9,4,0,1,0,3,1,0.8,4,10,Zenarestat,3.3,PubChem XLogP,OK,C17H11BrClFN2O4,441.6
5734,212.23,212.0255633,94.6,298,0,1,5,2,14,0,0,0,0,0,0,0,1,151.1,6,3,1,0,0,2,0,0.6,2,10,Zonisamide,0.2,PubChem XLogP,OK,C8H8N2O3S,212.23
5741,416,415.1914215,38.8,510,0,1,4,6,29,0,1,0,1,0,0,0,2,,,,,,,,,,,0,Donepezil Hydrochloride,,,Not applicable (ionic/extreme),C24H30ClNO3,416
5746,334.33,334.1277197,147,757,0,3,8,4,24,0,4,4,0,0,0,0,1,241.8,13,4,3,0,3,3,0,0.8,4.6,5,Mitomycin C,-0.4,PubChem XLogP,OK,C15H18N4O5,334.33
5754,362.5,362.2093241,94.8,684,0,3,5,2,26,0,7,7,0,0,0,0,1,274.5,12,5,3,0,0,4,0,0.8,3.8,2,Cortisol,1.6,PubChem XLogP,OK,C21H30O5,362.5
5756,288.4,288.1725446,60.7,411,0,3,3,0,21,0,6,6,0,0,0,0,1,225.3,9,2,3,0,0,4,0,0.6,1.4,1,Estriol,2.5,PubChem XLogP,OK,C18H24O3,288.4
5757,272.4,272.17763,40.5,382,0,2,2,0,20,0,5,5,0,0,0,0,1,217.1,7,1,2,0,0,4,0,0.6,1.4,1,Estradiol,4,PubChem XLogP,OK,C18H24O2,272.4
5790,246.19,246.0651996,99.1,386,0,3,6,2,17,0,3,3,0,0,0,0,1,170.6,10,5,3,0,0,2,0,0.6,3,10,Floxuridine,-1.2,PubChem XLogP,OK,C9H11FN2O5,246.19
5795,272.77,272.1291556,55.6,221,0,2,4,7,18,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Procaine Hydrochloride,,,Not applicable (ionic/extreme),C13H21ClN2O2,272.77
5807,247.72,247.0975211,72.7,187,0,5,4,4,16,0,1,0,1,0,0,0,2,,,,,,,,,,,0,(+-)-Isoproterenol hydrochloride,,,Not applicable (ionic/extreme),C11H18ClNO3,247.72
5815,333.29,333.1059812,188,288,0,8,10,6,23,0,3,3,0,0,0,0,2,,,,,,,,,,,0,Epinephrine Bitartrate,,,Not applicable (ionic/extreme),C13H19NO9,333.29
5816,183.2,183.0895433,72.7,154,0,4,4,3,13,0,1,1,0,0,0,0,1,142.6,7,1,4,0,1,1,0,0.6,3,10,Epinephrine,-1.4,PubChem XLogP,OK,C9H13NO3,183.2
5824,334.39,334.1198576,104,337,0,0,6,3,22,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Neostigmine Methylsulfate,,,Not applicable (ionic/extreme),C13H22N2O6S,334.39
5831,182.65,182.0822054,52.3,117,0,1,3,4,11,0,0,0,0,0,0,0,2,,,,,,,,,,,0,Carbachol,,,Not applicable (ionic/extreme),C6H15ClN2O2,182.65
5833,416.6,416.2021307,85.7,818,0,0,5,2,29,0,7,7,0,0,0,0,1,325,7,2,0,0,0,5,0,0.8,4.2,1,Spironolactone,2.9,PubChem XLogP,OK,C24H32O4S,416.6
5852,149.21,149.0510498,64.3,124,0,3,4,2,9,0,1,1,0,0,0,0,1,111.9,6,2,1,1,1,0,1,0.4,2,9,Penicillamine,-1.8,PubChem XLogP,OK,C5H11NO2S,149.21
5853,257.43,255.922579,55.8,183,0,1,4,3,12,0,1,0,1,0,0,0,1,156.8,3,2,1,0,0,0,0,0.6,4,10,Trichlorfon,0.5,PubChem XLogP,OK,C4H8Cl3O4P,257.43
5870,270.4,270.1619799,37.3,418,0,1,2,0,20,0,4,4,0,0,0,0,1,216.5,6,1,1,0,0,4,0,0.6,1.2,1,Estrone,3.1,PubChem XLogP,OK,C18H22O2,270.4
5878,306.4,306.2194948,46.5,503,0,1,3,0,22,0,7,7,0,0,0,0,1,239.9,7,2,1,0,0,4,0,0.6,2,1,Oxandrolone,3.7,PubChem XLogP,OK,C19H30O3,306.4
5893,664.4,664.1169476,318,1130,1,8,18,11,44,0,8,8,0,0,0,0,1,449.3,26,11,6,0,4,5,0,2,13,10,Nadide (JAN/USAN/INN),-5.9,PubChem XLogP,OK,C21H28N7O14P2+,664.4
5905,354.1,353.97127,99.1,386,0,3,5,2,17,0,3,3,0,0,0,0,1,191.2,11,5,3,0,0,2,1,0.6,3,10,Idoxuridine,-1,PubChem XLogP,OK,C9H11IN2O5,354.1
5910,208.26,208.1211778,44.1,245,0,0,3,3,15,0,2,2,0,0,0,0,1,167.6,5,1,0,0,1,2,1,0.6,3.8,10,Pilocarpine,1.1,PubChem XLogP,OK,C11H16N2O2,208.26
5936,184.15,184.0664595,35.5,144,0,0,4,4,11,0,0,0,0,0,0,0,1,134.5,3,1,0,0,0,0,2,0.6,4,10,Diisopropyl Fluorophosphate,1.2,PubChem XLogP,OK,C6H14FO3P,184.15
5962,146.19,146.1055277,89.3,106,0,3,4,5,10,0,1,1,0,0,0,0,1,116.7,7,2,2,1,2,0,0,0.6,5,10,L-Lysine,-3,PubChem XLogP,OK,C6H14N2O2,146.19
5965,716.6,714.23553,59.1,686,0,0,6,17,42,0,0,0,0,0,0,0,3,,,,,,,,,,,0,Demecarium Bromide,,,Not applicable (ionic/extreme),C32H52Br2N4O4,716.6
5983,275.35,275.1633769,44.8,403,0,1,4,2,20,0,2,2,0,0,0,0,1,216.3,7,1,1,0,2,3,0,0.6,3.8,10,Physostigmine,0.7,PubChem XLogP,OK,C15H21N3O2,275.35
5991,296.4,296.17763,40.5,505,0,2,2,1,22,0,5,5,0,0,0,0,1,238.8,8,1,2,0,0,4,1,0.6,1.4,1,Ethinylestradiol,3.7,PubChem XLogP,OK,C20H24O2,296.4
