Method,Split,Reliable Negative Ratio,Train Rows,Eval Rows,Features,Reliable Negatives,Positive Eval Fraction,ROC AUC,PR AUC,Brier Score,Top 0.1% Support,Top 0.5% Support,Top 1.0% Support,Top 2.0% Support
stage1 positive-unlabeled HGB,inner_validation_ligands,all_unlabeled,129353,44208,1663,127580,0.015110387260224394,0.937312135031728,0.4524797599619368,0.011059983594268831,0.8863636363636364,0.6832579185520362,0.5656108597285068,0.4072398190045249
two-step PU reliable-negative HGB,inner_validation_ligands,5,10638,44208,1663,8865,0.015110387260224394,0.8992370736249136,0.14123962215464553,0.3570575920032375,0.29545454545454547,0.19004524886877827,0.21945701357466063,0.20135746606334842
two-step PU reliable-negative HGB,inner_validation_ligands,10,19503,44208,1663,17730,0.015110387260224394,0.9061487956562759,0.1544050850601203,0.2738696929168428,0.20454545454545456,0.24434389140271492,0.2579185520361991,0.2160633484162896
two-step PU reliable-negative HGB,inner_validation_ligands,20,37233,44208,1663,35460,0.015110387260224394,0.9172643229847149,0.17745645792218595,0.1606523974671849,0.25,0.3076923076923077,0.2918552036199095,0.252262443438914
two-step PU reliable-negative HGB,inner_validation_ligands,40,72693,44208,1663,70920,0.015110387260224394,0.9357880013972972,0.22150665633849176,0.06107176651146571,0.20454545454545456,0.3257918552036199,0.3190045248868778,0.2986425339366516
two-step PU reliable-negative HGB,outer_test_ligands,40,100081,41281,1663,97640,0.010198396356677407,0.9404713156447543,0.15315113551345733,0.07382124270536708,0.14634146341463414,0.21359223300970873,0.2009685230024213,0.2009685230024213
