category,count,mean,median,p75,p90,p95,max
enzyme,1682,1733.6438763376932,1178.5,2483.25,4013.3000000000006,5215.849999999992,7519.0
gpcr,415,1085.3831325301205,768.0,1644.5,2587.8000000000006,3067.8999999999987,7238.0
ion_channel,537,3032.346368715084,2734.0,4232.0,6051.200000000001,7013.2,7401.0
nuclear_receptor,86,1705.046511627907,852.0,3121.25,4499.5,4943.5,6958.0
