rank_cutoff,known_positives_captured,known_positive_recall,total_higher_ranked_calls_before_known_positive,apparent_false_positive_calls_before_known_positive,apparent_fp_fraction_among_higher_ranked_calls,mean_higher_ranked_calls_for_captured_pairs
1,6,0.0022058823529411764,0,0,0.0,0.0
3,18,0.006617647058823529,20,19,0.95,1.6666666666666667
5,25,0.009191176470588236,46,43,0.9347826086956522,2.4210526315789473
10,37,0.013602941176470588,135,127,0.9407407407407408,4.354838709677419
20,57,0.020955882352941175,416,405,0.9735576923076923,8.156862745098039
50,102,0.0375,1913,1888,0.9869315211709357,19.927083333333332
100,162,0.05955882352941176,6484,6424,0.9907464528069093,41.56410256410256
200,299,0.10992647058823529,26863,26684,0.9933365595800916,91.68259385665529
