rank_cutoff,known_positives_captured,known_positive_recall,total_higher_ranked_calls_before_known_positive,apparent_false_positive_calls_before_known_positive,apparent_fp_fraction_among_higher_ranked_calls,bindingdb_supported_calls_before_known_positive,bindingdb_supported_fraction_among_higher_ranked_calls,unsupported_calls_before_known_positive,unsupported_fraction_among_higher_ranked_calls,mean_higher_ranked_calls_for_captured_pairs
1,4,0.001470047776552738,0,0,0.0,0,0.0,0,0.0,0.0
3,16,0.005880191106210952,20,19,0.95,0,0.0,19,0.95,1.6666666666666667
5,22,0.00808526277104006,42,40,0.9523809523809523,0,0.0,40,0.9523809523809523,2.3333333333333335
10,35,0.012862918044836457,138,130,0.9420289855072463,2,0.014492753623188406,128,0.927536231884058,4.451612903225806
20,55,0.020213156927600145,432,421,0.9745370370370371,2,0.004629629629629629,419,0.9699074074074074,8.470588235294118
50,100,0.036751194413818446,1997,1972,0.9874812218327491,2,0.00100150225338007,1970,0.9864797195793691,20.802083333333332
100,160,0.05880191106210952,6637,6576,0.9908091004972126,10,0.0015067048365225253,6567,0.9894530661443424,42.544871794871796
200,290,0.1065784638000735,25908,25746,0.9937471051412691,15,0.0005789717461787865,25733,0.9932453296279141,90.58741258741259
