outcome,kegg_drug,pubchem_cid,ligand_title,ligand_yamanishi_degree,error_rows
FN,D00761,24244,Metocurine Iodide,1.0,1
FN,D01294,1547484,Cinnarizine,2.0,1
FN,D00496,5852,Penicillamine,1.0,1
FN,D00222,135398513,Acyclovir,2.0,1
FN,D02671,4078,Mesoridazine,1.0,1
FN,D00231,3698,Amrinone,19.0,1
FN,D00255,2585,Carvedilol,8.0,1
FN,D03751,135462830,Icopezil Maleate,1.0,1
FN,D00523,3749,Irbesartan,1.0,1
FN,D00892,23679527,Fluvastatin Sodium,1.0,1
FN,D01825,6215,Fluocinolone Acetonide,1.0,1
FN,D01227,27522,Distigmine Bromide,2.0,1
FN,D01582,3475,Gliclazide,2.0,1
FN,D00392,5576,Trimethadione,1.0,1
FN,D00274,2769,Cisapride (USP/INN),1.0,1
FN,D03742,5360696,Dextromethorphan,3.0,1
FN,D02168,60699,Topotecan Hydrochloride,4.0,1
FN,D00183,4421,Nalidixic Acid,2.0,1
FN,D00359,53232,Lovastatin,1.0,1
FN,D03720,60781,"L-Prolinamide, N-methyl-D-phenylalanyl-N-((1S)-4-((aminoiminomethyl)amino)-1-formylbutyl)-, sulfate (1:1)",2.0,1
FN,D00351,47576,Ketoconazole,3.0,1
FN,D00765,441351,Rocuronium Bromide,1.0,1
FN,D00493,4917,Prochlorperazine,6.0,1
FN,D03722,11954363,Napsagatran,1.0,1
FN,D06238,5583,Trimetrexate,1.0,1
FN,D03798,54676038,Dicoumarol,7.0,1
FN,D03734,71355,Lecimibide,2.0,1
FN,D00371,2153,Theophylline,19.0,1
FN,D00038,243,Benzoic Acid,2.0,1
FN,D05341,985,Palmitic Acid,2.0,1
FN,D00094,444795,Retinoic Acid,9.0,1
FN,D00488,4993,Pyrimethamine,1.0,1
FN,D00335,3478,Glipizide,2.0,1
FN,D00654,3647,Hydroflumethiazide,4.0,1
FN,D05453,9795678,Phencyclidine Hydrochloride,10.0,1
FN,D00340,3639,Hydrochlorothiazide,1.0,1
FN,D03880,3038222,Dobutamine Lactobionate,2.0,1
FN,D00519,2720,Chlorothiazide,1.0,1
FN,D00691,3182,Diprophylline,15.0,1
FN,D00232,657201,Anisotropine methylbromide,3.0,1
FN,D00503,4748,Perphenazine,4.0,1
FN,D00050,493570,Riboflavin,2.0,1
FN,D00410,4174,Metyrapone,44.0,1
FN,D02671,4078,Mesoridazine,5.0,1
FN,D00394,5584,Trimipramine,44.0,1
FN,D02150,656783,Levisoprenaline hydrochloride,3.0,1
FN,D00785,26758,Selegiline Hydrochloride,2.0,1
FN,D03881,208850,Dobutamine Tartrate,2.0,1
FN,D03217,6450551,Axitinib,19.0,1
FN,D00279,2796,Clofibrate,1.0,1
FN,D00110,122142,Cocaine (USP),3.0,1
FN,D03601,6726,Cyclizine,1.0,1
FN,D00318,5702160,Famotidine,3.0,1
FN,D01973,656631,Eletriptan Hydrobromide,1.0,1
FN,D06056,135409453,Tegaserod,1.0,1
FN,D00560,16362,Pimozide,5.0,1
FN,D00379,5503,Tolazamide,2.0,1
FN,D00537,5284627,Topiramate,2.0,1
FN,D01397,92727,Lopinavir,2.0,1
FN,D03260,6431825,Chlorpromazine Hibenzate,19.0,1
FN,D00711,15851,Ketamine Hydrochloride,13.0,1
FN,D01217,60953,Capecitabine,1.0,1
FN,D01799,71793,Glyclopyramide,1.0,1
FN,D00448,5339,Sulfasalazine,11.0,1
FN,D01164,60795,Aripiprazole,6.0,1
FN,D04985,9034,Methohexital,1.0,1
FN,D00951,6279,Medroxyprogesterone Acetate,1.0,1
FN,D03580,9859832,"1R-cis-3,3,5-trimethylcyclohexyl ester5-oxo-L-proline",9.0,1
FN,D02076,54405,Brimonidine Tartrate,3.0,1
FN,D02461,22502,"4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-((phenylacetyl)amino)-(2S,5R,6R)-, compd. with 2-(diethylamino)ethyl 4-aminobenzoate, hydrate (1:1:1)",6.0,1
FN,D00512,1775,Phenytoin,45.0,1
FN,D01051,5265,Spiperone,6.0,1
