Feature Set,Config,Split,Train Rows,Eval Rows,Features,Positive Eval Fraction,ROC AUC,PR AUC,Brier Score,Top 0.1% Support,Top 0.5% Support,Top 1.0% Support,Top 2.0% Support
clean_rank_plus_maccs_morgan_target,hgb_default,inner_validation_ligands,129353,44208,1663,0.015110387260224394,0.937312135031728,0.4524797599619368,0.011059983594268831,0.8863636363636364,0.6832579185520362,0.5656108597285068,0.4072398190045249
clean_rank_plus_maccs_morgan_target,hgb_balanced_default,inner_validation_ligands,129353,44208,1663,0.015110387260224394,0.9525039264603544,0.4091067342322084,0.028440475113075434,0.6363636363636364,0.6380090497737556,0.5226244343891403,0.40497737556561086
clean_rank_plus_maccs_morgan_target,hgb_default,outer_test_ligands,173561,41281,1663,0.010198396356677407,0.9478703132066741,0.39118421598040864,0.007925603878937686,0.7804878048780488,0.5533980582524272,0.4358353510895884,0.30871670702179177
