Split Mode,Feature Set,Classifier,Split,Rows,Positives,Negatives,Features,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate,False Positives,False Negatives,True Positives,True Negatives
target_held_out,affinity_group_only,Extra Trees,train,3237,1603,1634,9,0.9842446709916589,0.9841574205647153,0.9930114358322745,0.9750467872738615,0.983947119924457,0.9993139393624715,0.9993250797886986,0.006731946144430845,0.024953212726138492,11,40,1563,1623
target_held_out,affinity_group_only,Extra Trees,validation,1066,528,538,9,0.6378986866791745,0.6382012504224399,0.6254416961130742,0.6704545454545454,0.6471663619744058,0.7175460459614735,0.6980013901173863,0.3940520446096654,0.32954545454545453,212,174,354,326
target_held_out,affinity_group_only,Extra Trees,test,1135,588,547,9,0.7268722466960352,0.724157121715231,0.7099697885196374,0.7993197278911565,0.752,0.7827202178860575,0.7641275415629738,0.3510054844606947,0.20068027210884354,192,118,470,355
target_held_out,affinity_group_only,Hist Gradient Boosting,train,3237,1603,1634,9,0.9873339511893728,0.987371253868397,0.9832920792079208,0.9912663755458515,0.9872631251941597,0.9992807244067312,0.9993126330523885,0.016523867809057527,0.008733624454148471,27,14,1589,1607
target_held_out,affinity_group_only,Hist Gradient Boosting,validation,1066,528,538,9,0.6547842401500938,0.6549298749577559,0.6459854014598541,0.6704545454545454,0.6579925650557621,0.7322575194322406,0.7142009770752219,0.36059479553903345,0.32954545454545453,194,174,354,344
target_held_out,affinity_group_only,Hist Gradient Boosting,test,1135,588,547,9,0.73215859030837,0.7305338954594635,0.7261146496815286,0.7755102040816326,0.75,0.7963754057381636,0.7820248090908051,0.31444241316270566,0.22448979591836735,172,132,456,375
target_held_out,affinity_group_only,SVM,train,3237,1603,1634,9,0.6981773246833488,0.6987147721034077,0.6744704570791528,0.7548346849656893,0.7123932881954665,0.7510770044844007,0.7031465047824714,0.3574051407588739,0.24516531503431066,584,393,1210,1050
target_held_out,affinity_group_only,SVM,validation,1066,528,538,9,0.6829268292682927,0.6834621775374563,0.660472972972973,0.740530303030303,0.6982142857142857,0.724255801509519,0.6543141129155847,0.3736059479553903,0.25946969696969696,201,137,391,337
target_held_out,affinity_group_only,SVM,test,1135,588,547,9,0.718942731277533,0.7165040604907411,0.7059724349157733,0.7840136054421769,0.7429492344883158,0.777692795582584,0.7465033712717393,0.3510054844606947,0.21598639455782312,192,127,461,355
target_held_out,affinity_group_only,KNN,train,3237,1603,1634,9,0.7726289774482545,0.7728448265988419,0.7575757575757576,0.7953836556456644,0.776019476567255,0.8545412098337648,0.8200933697229245,0.24969400244798043,0.20461634435433562,408,328,1275,1226
target_held_out,affinity_group_only,KNN,validation,1066,528,538,9,0.6622889305816135,0.6623472175284443,0.6561338289962825,0.6685606060606061,0.6622889305816135,0.7066699757801059,0.653314589493422,0.34386617100371747,0.3314393939393939,185,175,353,353
target_held_out,affinity_group_only,KNN,test,1135,588,547,9,0.707488986784141,0.7055771120148242,0.7012578616352201,0.7585034013605442,0.7287581699346405,0.7653154497630862,0.7321440850257859,0.3473491773308958,0.24149659863945577,190,142,446,357
target_held_out,all_features_minus_affinity_group,Logistic Regression,train,3237,1603,1634,1654,0.9925857275254866,0.9926087178950728,0.9900682805710739,0.9950093574547723,0.9925326695706285,0.9990585278062629,0.9988442781638697,0.009791921664626682,0.004990642545227698,16,8,1595,1618
target_held_out,all_features_minus_affinity_group,Logistic Regression,validation,1066,528,538,1654,0.6829268292682927,0.6817900191506139,0.736318407960199,0.5606060606060606,0.6365591397849463,0.7707981299988733,0.7301289366784054,0.1970260223048327,0.4393939393939394,106,232,296,432
target_held_out,all_features_minus_affinity_group,Logistic Regression,test,1135,588,547,1654,0.7171806167400882,0.7196473653446753,0.7675350701402806,0.6513605442176871,0.7046918123275069,0.7637546792025768,0.7397906026584459,0.21206581352833637,0.3486394557823129,116,205,383,431
target_held_out,all_features_minus_affinity_group,Random Forest,train,3237,1603,1634,1654,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.0,0,0,1603,1634
