pubchem_cid,ligand_title,ranked_uniprots,score_threshold,predicted_targets_at_threshold,expected_supported_targets_at_threshold,known_yamanishi_targets_in_affinity_file,known_yamanishi_targets_recovered_at_threshold,known_yamanishi_targets_missed_at_threshold,top_target_likelihood
15851,Ketamine Hydrochloride,7474,0.8,0,0,6,0,6,0.06736842339620086
158550,Atazanavir Sulfate,7065,0.8,0,0,3,0,3,0.07247378838469294
158781,Olmesartan,7275,0.8,0,0,1,0,1,0.05793216821675452
15895902,Parecoxib Sodium,7617,0.8,0,0,1,0,1,0.0676414577818548
159271,Tilmacoxib,7318,0.8,0,0,2,0,2,0.07255527620445995
159324,Tipifarnib,7277,0.8,0,0,2,0,2,0.07255527620445995
160024,Fidarestat,7471,0.8,0,0,1,0,1,0.02382088700848465
16078,Tetrahydrocannabinol,7532,0.8,0,0,1,0,1,0.03281610244771495
1613,Zopolrestat,7217,0.8,0,0,1,0,1,0.023837807025840294
16362,Pimozide,7375,0.8,0,0,17,0,17,0.0999276977258147
163727,Lazabemide Hydrochloride,7411,0.8,0,0,2,0,2,0.05746195218754413
166558,Avasimibe,7448,0.8,0,0,2,0,2,0.06013144428336116
16759173,Pravastatin Sodium,6867,0.8,0,0,1,0,1,0.020006144233298034
1676,Enprofylline,7415,0.8,0,0,0,0,0,0.016210705098576268
16760658,Sodium Salicylate,7622,0.8,0,0,2,0,2,0.0676414577818548
170321,Eldacimibe,7311,0.8,0,0,2,0,2,0.07172435782667323
171548,Biotin,7412,0.8,0,0,3,0,3,0.04956707150365703
174174,Npc209773,7472,0.8,0,0,5,0,5,0.08450786617493738
176871,Erlotinib Hydrochloride,6967,0.8,0,0,46,0,46,0.13936963626272764
1775,Phenytoin,7534,0.8,0,0,30,0,30,0.1251261634208596
185462,Bosentan Monohydrate,7623,0.8,0,0,21,0,21,0.04788219481493757
189729,Ceronapril,7283,0.8,0,0,2,0,2,0.07255527620445995
190816,Minalrestat,7303,0.8,0,0,1,0,1,0.030787704106266568
1967,Docebenone,7531,0.8,0,0,1,0,1,0.023837807025840294
1978,Acebutolol,7461,0.8,0,0,2,0,2,0.07366798003567364
1981,Acemetacin,7385,0.8,0,0,2,0,2,0.07366798003567364
1983,Acetaminophen,7479,0.8,0,0,12,0,12,0.06855168696825249
1986,Acetazolamide,7417,0.8,0,0,11,0,11,0.058736830050096014
1989,Acetohexamide,7471,0.8,0,0,1,0,1,0.07172435782667323
20179,Clonidine Hydrochloride,7478,0.8,0,0,3,0,3,0.06855168696825249
20279,Cladribine,7246,0.8,0,0,1,0,1,0.020443482845580684
204101,Razaxaban Hydrochloride,7153,0.8,0,0,1,0,1,0.07255527620445995
2083,Salbutamol,7534,0.8,0,0,1,0,1,0.07255527620445995
208850,Dobutamine Tartrate,7427,0.8,0,0,2,0,2,0.04811063825169084
208910,Firocoxib,7532,0.8,0,0,2,0,2,0.07255527620445995
2097,Alminoprofen,7478,0.8,0,0,2,0,2,0.07255527620445995
2118,Alprazolam,7474,0.8,0,0,34,0,34,0.1069957343024076
2145,Aminoglutethimide,7536,0.8,0,0,27,0,27,0.1251261634208596
21467,Mexiletine Hydrochloride,7290,0.8,0,0,3,0,3,0.06395986495402191
2153,Theophylline,7479,0.8,0,0,13,0,13,0.0910432931708281
2157,Amiodarone,7455,0.8,0,0,1,0,1,0.05438508905356978
2161,Amlexanox,7397,0.8,0,0,1,0,1,0.0910432931708281
216322,Conivaptan Hydrochloride,7257,0.8,0,0,1,0,1,0.02517037875360745
216457,Solifenacin Succinate,7443,0.8,0,0,2,0,2,0.06071167347050518
2170,Amoxapine,7326,0.8,0,0,1,0,1,0.07255527620445995
2176,Ampiroxicam,7287,0.8,0,0,2,0,2,0.07255527620445995
2179,Amsacrine,7385,0.8,0,0,2,0,2,0.07255527620445995
21850,Ambuphylline,7328,0.8,0,0,2,0,2,0.07255527620445995
2187,Anastrozole,7532,0.8,0,0,17,0,17,0.0999276977258147
2244,Aspirin,7544,0.8,0,0,2,0,2,0.07255527620445995
2247,Astemizole,7281,0.8,0,0,5,0,5,0.07164401578235065
2249,Atenolol,7470,0.8,0,0,2,0,2,0.07255527620445995
22502,"4-Thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid, 3,3-dimethyl-7-oxo-6-((phenylacetyl)amino)-(2S,5R,6R)-, compd. with 2-(diethylamino)ethyl 4-aminobenzoate, hydrate (1:1:1)",7213,0.8,0,0,3,0,3,0.07255527620445995
2266,Azelaic Acid,7544,0.8,0,0,2,0,2,0.06736842339620086
2284,Baclofen,7416,0.8,0,0,1,0,1,0.07255527620445995
229455,Nandrolone Phenylpropionate,7576,0.8,0,0,1,0,1,0.0562095397393144
2315,Bendroflumethiazide,7385,0.8,0,0,4,0,4,0.08450786617493738
2329,4-((2-(Benzoylamino)-3-(4-hydroxyphenyl)-1-oxopropyl)amino)benzoic acid,7450,0.8,0,0,6,0,6,0.07247378838469294
2337,Benzocaine,7544,0.8,0,0,10,0,10,0.08418644641519427
2343,Benzthiazide,7304,0.8,0,0,4,0,4,0.0754345178013187
23663959,Sodium meclofenamate monohydrate,7622,0.8,0,0,2,0,2,0.0676414577818548
23663992,Cerivastatin Sodium,7277,0.8,0,0,1,0,1,0.020006144233298034
23667301,Estrone Sodium Sulfate,7393,0.8,0,0,1,0,1,0.06003904507219866
23667962,Dynacil,6696,0.8,0,0,0,0,0,0.06294299584097919
23669229,Sodium caffeine benzoate,7622,0.8,0,0,5,0,5,0.07255527620445995
23675769,"sodium;1,3-dimethyl-7H-purine-2,6-dione;acetate",7622,0.8,0,0,2,0,2,0.0676414577818548
23678981,Methotrexate monosodium,6562,0.8,0,0,1,0,1,0.07635973144109676
23679527,Fluvastatin Sodium,7343,0.8,0,0,1,0,1,0.02337071888605999
