Feature Set,Classifier,Train Rows,Test Rows,Features,CV PR AUC,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
clean_pairwise_plus_pubchem,Logistic L2 tuned,4353,1089,34,0.6465887677159758,0.6409550045913682,0.6368515205724508,0.6544117647058824,0.6455122393472348,0.6799952779276849,0.6666438860409207,0.3724770642201835,0.34558823529411764
clean_pairwise_plus_pubchem,Linear SGD tuned,4353,1089,34,0.6354163972107978,0.6382001836547291,0.6431297709923665,0.6194852941176471,0.6310861423220974,0.6771890178089585,0.6646935356262135,0.3431192660550459,0.3805147058823529
clean_pairwise_plus_pubchem,Random Forest tuned,4353,1089,34,0.765161941873799,0.7281910009182736,0.7384615384615385,0.7058823529411765,0.7218045112781954,0.7911393685914733,0.8047381002578167,0.24954128440366974,0.29411764705882354
clean_pairwise_plus_pubchem,Extra Trees tuned,4353,1089,34,0.7533621342868194,0.7226813590449954,0.7283018867924528,0.7095588235294118,0.7188081936685289,0.781219643820831,0.7920696372109841,0.26422018348623855,0.29044117647058826
clean_pairwise_plus_pubchem,Gradient Boosting tuned,4353,1089,34,0.7441140883817756,0.7235996326905417,0.7288135593220338,0.7113970588235294,0.72,0.7875961279007015,0.7842197332912617,0.26422018348623855,0.28860294117647056
clean_pairwise_plus_pubchem,Hist Gradient Boosting tuned,4353,1089,34,0.7522144238062449,0.7153351698806244,0.720754716981132,0.7022058823529411,0.7113594040968343,0.7902860226659472,0.7983238535395776,0.27155963302752295,0.2977941176470588
clean_pairwise_plus_pubchem,AdaBoost tuned,4353,1089,34,0.6789946740568155,0.6629935720844812,0.6698656429942419,0.6415441176470589,0.6553990610328638,0.7139807069616837,0.6950331902442544,0.3155963302752294,0.3584558823529412
pairwise_plus_target,Logistic L2 tuned,4353,1089,27,0.6621823763317134,0.6363636363636364,0.6293706293706294,0.6617647058823529,0.6451612903225806,0.6878372908796546,0.6585342925507875,0.3889908256880734,0.3382352941176471
pairwise_plus_target,Linear SGD tuned,4353,1089,27,0.660983477985446,0.63544536271809,0.6282722513089005,0.6617647058823529,0.6445837063563116,0.686795062061522,0.6608538758465123,0.3908256880733945,0.3382352941176471
pairwise_plus_target,Random Forest tuned,4353,1089,27,0.733142640597218,0.6887052341597796,0.6944971537001897,0.6727941176470589,0.6834733893557423,0.7778146923907179,0.7683783871155334,0.29541284403669726,0.3272058823529412
pairwise_plus_target,Extra Trees tuned,4353,1089,27,0.7213797835399994,0.699724517906336,0.717434869739479,0.6580882352941176,0.6864813039309684,0.7662962088505128,0.7583874733574281,0.25871559633027524,0.34191176470588236
pairwise_plus_target,Gradient Boosting tuned,4353,1089,27,0.7267750625257763,0.7052341597796143,0.6987522281639929,0.7205882352941176,0.709502262443439,0.7734771316783594,0.7605708151810493,0.3100917431192661,0.27941176470588236
pairwise_plus_target,Hist Gradient Boosting tuned,4353,1089,27,0.7330968569360417,0.6978879706152433,0.6958105646630237,0.7022058823529411,0.6989935956084172,0.774795939017809,0.7570888455698658,0.30642201834862387,0.2977941176470588
pairwise_plus_target,AdaBoost tuned,4353,1089,27,0.6848220985562246,0.6749311294765841,0.6702508960573477,0.6875,0.6787658802177858,0.7266071910415542,0.7080347399059127,0.3376146788990826,0.3125
pairwise_plus_pubchem_plus_target,Logistic L2 tuned,4353,1089,57,0.6936030745380007,0.6776859504132231,0.6720142602495544,0.6930147058823529,0.6823529411764706,0.7329701834862385,0.7257385227756772,0.3376146788990826,0.3069852941176471
pairwise_plus_pubchem_plus_target,Linear SGD tuned,4353,1089,57,0.6875333613189125,0.6859504132231405,0.6717687074829932,0.7261029411764706,0.6978798586572438,0.7354796276308688,0.7283091701907726,0.3541284403669725,0.27389705882352944
pairwise_plus_pubchem_plus_target,Random Forest tuned,4353,1089,57,0.846211459586591,0.8328741965105602,0.8232142857142857,0.8474264705882353,0.8351449275362319,0.9091439557474367,0.917797314109264,0.181651376146789,0.15257352941176472
pairwise_plus_pubchem_plus_target,Extra Trees tuned,4353,1089,57,0.8295705764973026,0.7924701561065197,0.7944444444444444,0.7886029411764706,0.7915129151291513,0.87098623853211,0.8806545653915449,0.2036697247706422,0.2113970588235294
pairwise_plus_pubchem_plus_target,Gradient Boosting tuned,4353,1089,57,0.827988684096999,0.8089990817263545,0.8032490974729242,0.8180147058823529,0.8105646630236795,0.8785213167835941,0.8790501636832216,0.2,0.18198529411764705
pairwise_plus_pubchem_plus_target,Hist Gradient Boosting tuned,4353,1089,57,0.8429533515629304,0.830119375573921,0.8188277087033747,0.8474264705882353,0.8328816621499548,0.9087493254182406,0.9092006846682927,0.1871559633027523,0.15257352941176472
pairwise_plus_pubchem_plus_target,AdaBoost tuned,4353,1089,57,0.7312008160462897,0.7070707070707071,0.7079482439926063,0.7040441176470589,0.7059907834101382,0.7696657447382622,0.753789548744077,0.28990825688073396,0.2959558823529412
