Feature Set,Classifier,Train Rows,Test Rows,Split Mode,Features,Positive Train Fraction,Positive Test Fraction,ROC AUC,PR AUC,Brier Score,Max Precision At Recall >= 0.10,Max Precision At Recall >= 0.25,Max Precision At Recall >= 0.50
rank_only,Logistic Regression,171873,42969,row,13,0.013323791404118157,0.013311922548814262,0.9799029189787971,0.40042629738056745,0.05391464969187523,0.63,0.47337278106508873,0.44157814871016693
rank_only,Random Forest,171873,42969,row,13,0.013323791404118157,0.013311922548814262,0.983364908554191,0.6326558770856021,0.007208878493797854,0.8924731182795699,0.8203883495145631,0.6745283018867925
rank_only,Extra Trees,171873,42969,row,13,0.013323791404118157,0.013311922548814262,0.9809977772539981,0.6395815349892043,0.007270206490199263,0.9142857142857143,0.8202247191011236,0.6982968369829684
rank_only,Hist Gradient Boosting,171873,42969,row,13,0.013323791404118157,0.013311922548814262,0.9906520054938576,0.6311515196143901,0.007312683438531952,0.8714285714285714,0.8097826086956522,0.6886792452830188
