Feature Set,Classifier,Train Rows,Test Rows,Features,CV PR AUC,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
morgan_only,Extra Trees tuned,8104,2026,1024,nan,0.7324777887462981,0.7347956131605184,0.7275419545903258,0.7311507936507936,0.7585295404558119,0.73897215190239,0.26258637709772953,0.2724580454096742
morgan_only,Hist Gradient Boosting tuned,8104,2026,1024,nan,0.728035538005923,0.7273622047244095,0.7295162882527148,0.728437654016757,0.7738247793492105,0.7799819750528593,0.2734452122408687,0.2704837117472853
pubchem_plus_morgan,Extra Trees tuned,8104,2026,1054,nan,0.7324777887462981,0.7333994053518335,0.7305034550839091,0.731948565776459,0.7580905289479607,0.7381149740504874,0.26554787759131293,0.2694965449160908
pubchem_plus_morgan,Hist Gradient Boosting tuned,8104,2026,1054,nan,0.7314906219151036,0.7310344827586207,0.7324777887462981,0.7317554240631163,0.770570929349844,0.7746310222329409,0.2694965449160908,0.2675222112537019
morgan_plus_target_rich,Extra Trees tuned,8104,2026,1458,nan,0.857847976307996,0.8557409224730128,0.8608094768015795,0.8582677165354331,0.9286462561235042,0.9361190457928112,0.14511352418558737,0.13919052319842054
morgan_plus_target_rich,Hist Gradient Boosting tuned,8104,2026,1458,nan,0.8237907206317868,0.8111954459203036,0.8440276406712734,0.8272859216255443,0.9090734567113214,0.9080421953062028,0.1964461994076999,0.15597235932872655
pubchem_plus_maccs_plus_morgan_plus_target_rich,Extra Trees tuned,8104,2026,1654,nan,0.8746298124383021,0.8814070351758794,0.8657453109575518,0.8735059760956175,0.9378732937751969,0.9457987009684399,0.11648568608094768,0.13425468904244817
pubchem_plus_maccs_plus_morgan_plus_target_rich,Hist Gradient Boosting tuned,8104,2026,1654,nan,0.8450148075024679,0.8287864534336783,0.8696939782823297,0.848747591522158,0.9184383858799086,0.9164714124188417,0.17966436327739388,0.13030602171767028
