Negative Ratio,Classifier,Train Rows,Test Rows,Positive Test Fraction,Always Negative Accuracy,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,TN,FP,FN,TP
1,Hist Gradient Boosting,5816,1454,0.5,0.5,0.8246217331499313,0.8246217331499313,0.8268698060941828,0.8211829436038515,0.8240165631469979,0.8877166626618405,0.894019545240009,602,125,130,597
1,Extra Trees,5816,1454,0.5,0.5,0.8431911966987621,0.8431911966987621,0.8621190130624092,0.8170563961485557,0.8389830508474576,0.8996384304361729,0.9200817789165892,632,95,133,594
3,Hist Gradient Boosting,11632,2908,0.25,0.75,0.8696698762035764,0.7792297111416782,0.8333333333333334,0.5983493810178817,0.6965572457966374,0.9029463536217186,0.7993389091879999,2094,87,292,435
3,Extra Trees,11632,2908,0.25,0.75,0.8930536451169189,0.8104080696928014,0.8984674329501916,0.6451169188445667,0.7510008006405124,0.9306439823232657,0.8641933587649326,2128,53,258,469
5,Hist Gradient Boosting,17448,4362,0.16666666666666666,0.8333333333333334,0.9039431453461715,0.759697386519945,0.8195020746887967,0.5433287482806052,0.6534325889164598,0.9067644348749075,0.7539396409367377,3548,87,332,395
5,Extra Trees,17448,4362,0.16666666666666666,0.8333333333333334,0.9133425034387895,0.7713892709766161,0.8768898488120951,0.5584594222833562,0.6823529411764706,0.9227491774339724,0.7882393413614619,3578,57,321,406
10,Hist Gradient Boosting,31988,7997,0.09090909090909091,0.9090909090909091,0.9384769288483181,0.6925722145804677,0.8507462686567164,0.3920220082530949,0.536723163841808,0.9047934928830774,0.6703913725389181,7220,50,442,285
10,Extra Trees,31988,7997,0.09090909090909091,0.9090909090909091,0.9419782418406902,0.7143053645116919,0.8544474393530997,0.4360385144429161,0.5774134790528234,0.933387098910372,0.7249706167952654,7216,54,410,317
