Feature Set,Classifier,Train Rows,Test Rows,Features,Accuracy,Balanced Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,FP,FN
similarity_only,ExtraTrees,8104,2026,10,0.506416584402764,0.506416584402764,0.9333333333333333,0.013820335636722606,0.027237354085603113,0.8411445872950751,0.8398677491094548,1,999
similarity_only,RandomForest,8104,2026,10,0.5,0.5,0.5,0.0009871668311944718,0.0019704433497536944,0.7816344091470314,0.8371045480625247,1,1012
similarity_only,HistGradientBoosting,8104,2026,10,0.5108588351431392,0.5108588351431392,1.0,0.02171767028627838,0.04251207729468599,0.5451908993547847,0.6246215219347424,0,991
molecular_plus_similarity,ExtraTrees,8104,2026,1664,0.8129318854886476,0.8129318854886476,0.9661764705882353,0.648568608094768,0.7761370348493798,0.9172943248139438,0.9352083701418961,23,356
molecular_plus_similarity,RandomForest,8104,2026,1664,0.7448173741362291,0.744817374136229,0.9679245283018868,0.506416584402764,0.6649384316267012,0.9158657102290167,0.9208101903114851,17,500
molecular_plus_similarity,HistGradientBoosting,8104,2026,1664,0.5177690029615005,0.5177690029615005,1.0,0.035538005923000986,0.06863679694947569,0.5761078340897066,0.657401318315092,0,977
