Feature Set,Classifier,Train Rows,Validation Rows,Test Rows,Features,Hidden Layers,Dropout,Learning Rate,Weight Decay,Best Val PR AUC,Best Epoch,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
pairwise_plus_pubchem_plus_target,MLP 64,3482,871,1089,37,64,0.1,0.001,0.0001,0.766457156999978,164,0.7089072543617998,0.708256880733945,0.7095588235294118,0.7089072543617998,0.7872504047490556,0.7968130516039266,0.29174311926605506,0.29044117647058826
pairwise_plus_pubchem_plus_target,MLP 128,3482,871,1089,37,128,0.2,0.0008,0.0001,0.7455560329825688,75,0.6978879706152433,0.7055449330783938,0.6783088235294118,0.6916588566073102,0.7722983000539665,0.7825416810635017,0.28256880733944956,0.32169117647058826
pairwise_plus_pubchem_plus_target,MLP 128-64,3482,871,1089,37,128-64,0.2,0.0008,0.0003,0.8085781726138069,128,0.7456382001836547,0.7440585009140768,0.7481617647058824,0.7461044912923923,0.8114577711818671,0.8287048873101834,0.25688073394495414,0.25183823529411764
pairwise_plus_pubchem_plus_target,MLP 256-128,3482,871,1089,37,256-128,0.3,0.0005,0.0005,0.8013808637043859,137,0.7474747474747475,0.7495361781076066,0.7426470588235294,0.7460757156048015,0.8183014031300593,0.8363232635918423,0.24770642201834864,0.25735294117647056
pairwise_plus_pubchem_plus_target,MLP 128-64-32,3482,871,1089,37,128-64-32,0.25,0.0007,0.0003,0.7981148333516279,116,0.7392102846648301,0.7443609022556391,0.7279411764705882,0.7360594795539034,0.8075047220723152,0.8266175581970888,0.24954128440366974,0.27205882352941174
