Dataset,Feature Set,Classifier,Train Rows,Test Rows,Features,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
bindingdb_only,ligand_all + target_all (no pairwise),Logistic Regression,1956,490,33,0.5142857142857142,0.5193370165745856,0.3836734693877551,0.4413145539906103,0.5373760932944607,0.5229472016545252,0.3551020408163265,0.6163265306122448
bindingdb_only,ligand_all + target_all (no pairwise),Random Forest,1956,490,33,0.6918367346938775,0.6807692307692308,0.7224489795918367,0.700990099009901,0.7880299875052061,0.8112812332687367,0.33877551020408164,0.27755102040816326
bindingdb_only,ligand_all + target_all (no pairwise),Extra Trees,1956,490,33,0.7061224489795919,0.701195219123506,0.7183673469387755,0.7096774193548387,0.7815493544356518,0.7830862552924711,0.30612244897959184,0.2816326530612245
bindingdb_only,ligand_all + target_all (no pairwise),Hist Gradient Boosting,1956,490,33,0.6959183673469388,0.6846153846153846,0.726530612244898,0.7049504950495049,0.7839650145772595,0.7852640647826388,0.3346938775510204,0.27346938775510204
