Method,Split,Class Prior,Train Rows,Eval Rows,Features,Positive Eval Fraction,ROC AUC,PR AUC,Brier Score,Top 0.1% Support,Top 0.5% Support,Top 1.0% Support,Top 2.0% Support,Best Epoch,Best Validation PR AUC
nnPU MLP,inner_validation_ligands,0.02,129353,44208,1663,0.015110387260224394,0.6006135008348026,0.021314070528435643,0.03202930837869644,0.022727272727272728,0.03167420814479638,0.033936651583710405,0.024886877828054297,4,0.021314070528435643
nnPU MLP,inner_validation_ligands,0.05,129353,44208,1663,0.015110387260224394,0.5628534330053718,0.021399982100881593,0.07722054421901703,0.0,0.02262443438914027,0.01809954751131222,0.020361990950226245,2,0.021399982100881593
nnPU MLP,inner_validation_ligands,0.1,129353,44208,1663,0.015110387260224394,0.6019377013084535,0.025057258678365456,0.05168744549155235,0.0,0.02262443438914027,0.029411764705882353,0.05203619909502263,1,0.025057258678365456
nnPU MLP,outer_test_ligands,0.1,129353,41281,1663,0.010198396356677407,0.6366555517188057,0.016325245334473153,0.05820070952177048,0.0,0.0,0.014527845036319613,0.024213075060532687,1,0.025057258678365456
