Dataset,Feature Set,Classifier,Train Rows,Test Rows,Features,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
yamanishi_only,ligand_all + target_all (no pairwise),Logistic Regression,4353,1089,33,0.6235078053259872,0.6254681647940075,0.6139705882352942,0.6196660482374768,0.6686960334592553,0.6630160714927885,0.3669724770642202,0.3860294117647059
yamanishi_only,ligand_all + target_all (no pairwise),Random Forest,4353,1089,33,0.7814508723599632,0.7843866171003717,0.7757352941176471,0.7800369685767098,0.8661191311386942,0.8795211243952716,0.21284403669724772,0.22426470588235295
yamanishi_only,ligand_all + target_all (no pairwise),Extra Trees,4353,1089,33,0.7382920110192838,0.7292035398230089,0.7573529411764706,0.7430117222723174,0.8198343901780896,0.8414363313360274,0.28073394495412846,0.2426470588235294
yamanishi_only,ligand_all + target_all (no pairwise),Hist Gradient Boosting,4353,1089,33,0.8044077134986226,0.8036697247706422,0.8051470588235294,0.8044077134986226,0.8827728683216406,0.8873589890386497,0.1963302752293578,0.1948529411764706
