pubchem_cid,ranked_uniprots,supported_hits,sampled_unsupported_hits
4409,7582,2,300
44093,7417,1,300
441278,7533,1,300
441313,5827,1,300
441314,7582,3,300
441325,7382,0,300
441336,7448,1,300
441348,7409,0,300
441350,7478,1,300
441351,7622,2,300
441358,6439,0,300
441401,7399,1,300
441411,7206,3,300
4421,7412,2,300
443872,7576,1,300
443873,7282,1,300
443879,7530,2,300
443939,6513,1,300
443958,7445,1,300
444020,7529,0,300
444025,7453,1,300
444030,7449,0,300
444031,7452,1,300
444305,7582,4,300
444795,7532,10,300
444972,7545,1,300
445639,7534,1,300
44571,7476,2,300
4485,7464,44,880
448537,7581,15,300
4493,7403,2,300
4497,7455,1,300
4499,7460,15,300
4507,7461,15,300
4510,7567,0,300
4594,7398,0,300
4595,7472,0,300
460612,7331,1,300
4614,7472,2,300
4616,7329,1,300
4634,7464,2,300
4659569,7473,1,300
467825,7292,1,300
4679,7315,3,300
472335,7386,3,300
4737,7540,12,300
4740,7475,34,680
4748,7388,5,300
4753,7542,0,300
4754,7544,2,300
47576,7368,2,300
4763,7538,1,300
4771,7582,1,300
4781,7532,8,300
48040,7027,0,300
4823,7463,13,300
4828,7475,16,320
4888,7475,0,300
4906,7540,1,300
4909,7539,1,300
4911,7410,1,300
4917,7471,5,300
4927,7535,10,300
493570,7292,3,300
4940,7472,11,300
4943,7582,10,300
4993,7475,1,300
50294,7460,2,300
5070,7340,15,300
5073,7386,1,300
5090,7534,2,300
50963,7409,2,300
5147,7480,2,300
517321,7129,0,300
5206,7582,12,300
52542,7471,2,300
5265,7385,3,300
5278,7236,1,300
5280360,7529,0,300
5280453,7575,1,300
5280483,7574,0,300
5280723,7531,1,300
5280793,7576,1,300
5280795,7575,1,300
5280954,7412,1,300
5280965,7053,0,300
5281004,7521,1,300
5281037,7271,1,300
5281055,7188,2,300
5281068,7304,1,300
5281074,7426,0,300
5281077,7545,1,300
5281078,7455,2,300
5281081,7403,1,300
5281104,7575,1,300
5282183,7428,1,300
5282226,7441,0,300
5282375,7581,6,300
5282379,7532,1,300
5282381,7528,2,300
5282408,7383,2,300
5282415,7427,3,300
5282421,7362,2,300
5282469,7202,1,300
5282474,6765,1,300
5284472,7471,1,300
5284566,7403,0,300
5284583,7479,2,300
5284603,7472,3,300
5284627,7471,4,300
5311035,7524,1,300
5311064,7467,1,300
5311068,7542,1,300
5311071,7576,1,300
5311181,7527,0,300
5311221,7516,0,300
5311225,7523,1,300
5311309,7468,0,300
5312125,7263,0,300
5312153,7372,1,300
53232,7527,1,300
5328940,7271,44,880
53359,7319,2,300
5339,7294,8,300
5342,7460,1,300
5358,7407,12,300
5359,7475,2,300
5360515,7461,5,300
5360696,7534,2,300
5362115,7372,2,300
5362123,7382,1,300
5362129,7384,1,300
5362376,7384,0,300
5362471,6005,5,300
5381,7468,6,300
5405,7515,4,300
54343,7319,4,300
54384,7286,1,300
5440,7531,11,300
54405,7285,3,300
54454,7523,2,300
5452,7532,0,300
5463984,7383,1,300
5464201,6873,1,300
54670067,7582,1,300
54676038,7530,7,300
54676228,7236,2,300
54677470,7236,2,300
54677971,7237,2,300
5468,7475,1,300
54686350,7475,2,300
54690031,7155,2,300
54746,7449,1,300
5484727,7382,1,300
5485193,6578,2,300
54891,7276,1,300
54892,7380,1,300
54900,7270,2,300
5493444,7331,1,300
5497196,7242,0,300
5503,7406,1,300
5505,7475,27,540
5509,7475,2,300
55245,7454,4,300
5526,7479,2,300
5556,7472,1,300
5560,7321,4,300
5576,7505,1,300
5578,7470,1,300
5583,7455,1,300
5584,7578,28,560
5593,7409,3,300
564,7480,30,600
5663,7459,1,300
5665,7482,0,300
5702063,7475,1,300
5702160,7029,2,300
