kegg_drug,pubchem_cid,ligand_title,missing_positive_pairs
D03365,11954344,Carvedilol Phosphate,12
D03440,16129675,Ceruletide,1
D03450,167446,Cicloprolol Hydrochloride,1
D03503,21155870,Codeine Sulfate,1
D03731,6446650,Mofegiline Hydrochloride,2
D03738,60594,Enalkiren,1
D03767,3033690,Zofenopril Calcium,1
D03769,6917719,(2S)-1-((2S)-2-(((1S)-1-carboxy-3-phenylpropyl)amino)propanoyl)pyrrolidine-2-carboxylic acid;dihydrate,1
D03776,11954366,Zofenoprilat arginine,1
D03778,11954367,Fadrozole Hydrochloride Hemihydrate,24
D03781,11983193,Liarozole Fumarate,25
D03784,71454,Liarozole hydrochloride,25
D03816,11954370,Tenivastatin Calcium,1
D03826,6419928,Physostigmine Sulfate,10
D03829,11954371,Peramivir trihydrate,4
D03830,3037122,Diltiazem Malate,8
D04024,11557040,Lapatinib Ditosylate,53
D04028,3034010,Orlistat,9
D04048,6918111,"(2S)-N-(2,6-dimethylphenyl)-1-propyl-2-piperidinecarboxamide hydrochloride monohydrate",9
D05024,60662,Mibefradil Dihydrochloride,5
D05156,2735102,Nicotine Bitartrate,10
D05461,23724987,"1-Ethyl-6-fluoro-4-oxo-7-piperazin-1-yl-1,8-naphthyridine-3-carboxylic acid;dihydrate",6
D05740,19610426,Rizatriptan Sulfate,2
D05792,5152,Salmeterol,1
D06396,3035241,4-amino-N-(1-azabicyclo[3.3.1]nonan-4-yl)-5-chloro-2-methoxybenzamide,1
