Method,Split,Reliable Negative Fraction,Reliable Negative Rows,Train Rows,Eval Rows,Features,Positive Eval Fraction,ROC AUC,PR AUC,Brier Score,Top 0.1% Support,Top 0.5% Support,Top 1.0% Support,Top 2.0% Support
Two-step PU HGB,inner_validation_ligands,0.05,6379,8152,44208,1663,0.015110387260224394,0.8967518683349883,0.12643156456433455,0.3989032263114825,0.11363636363636363,0.22171945701357465,0.22624434389140272,0.18891402714932126
Two-step PU HGB,inner_validation_ligands,0.1,12758,14531,44208,1663,0.015110387260224394,0.8974780743978282,0.12705239895863077,0.31797964934994105,0.11363636363636363,0.21266968325791855,0.19230769230769232,0.17986425339366516
Two-step PU HGB,inner_validation_ligands,0.2,25516,27289,44208,1663,0.015110387260224394,0.9133876482221595,0.16557339008896552,0.21553162890168348,0.36363636363636365,0.26244343891402716,0.26018099547511314,0.2239819004524887
Two-step PU HGB,inner_validation_ligands,0.4,51032,52805,44208,1663,0.015110387260224394,0.9292301249590851,0.19178929205806458,0.10599338864588351,0.13636363636363635,0.24434389140271492,0.2828054298642534,0.2839366515837104
Two-step PU HGB,outer_test_ligands,0.4,68448,70889,41281,1663,0.010198396356677407,0.9286146542914048,0.13685408577874572,0.12768072372474465,0.24390243902439024,0.18932038834951456,0.17433414043583534,0.17796610169491525
