Feature Set,Classifier,Train Rows,Test Rows,Features,CV PR AUC,Accuracy,Precision,Recall,F1 Score,ROC AUC,PR AUC,False Positive Rate,False Negative Rate
pubchem_plus_target,Random Forest tuned,5816,1454,33,0.8779264296060721,0.8108665749656121,0.8210227272727273,0.7950481430536451,0.8078266946191475,0.8867990214349638,0.8948831746072159,0.1733149931224209,0.20495185694635487
pubchem_plus_target,Hist Gradient Boosting tuned,5816,1454,33,0.8712526398884357,0.8177441540577717,0.8147138964577657,0.8225584594222833,0.8186173853524983,0.8876220604735028,0.8864350941122531,0.18707015130674004,0.17744154057771663
maccs_plus_target,Random Forest tuned,5816,1454,169,0.8826647548894192,0.827372764786795,0.8371104815864022,0.81292984869326,0.8248429867411026,0.8962232914371775,0.9015389960886846,0.15818431911966988,0.18707015130674004
maccs_plus_target,Hist Gradient Boosting tuned,5816,1454,169,0.8772944098486125,0.8266850068775791,0.8349788434414669,0.8143053645116919,0.8245125348189415,0.8954759341493087,0.8953492331086512,0.1609353507565337,0.1856946354883081
pubchem_plus_maccs_plus_target,Random Forest tuned,5816,1454,199,0.8805094908190659,0.812242090784044,0.8215297450424929,0.797799174690509,0.8094905792044662,0.8880080374019212,0.894043574560672,0.1733149931224209,0.20220082530949107
pubchem_plus_maccs_plus_target,Hist Gradient Boosting tuned,5816,1454,199,0.8766466234918218,0.8239339752407153,0.8239339752407153,0.8239339752407153,0.8239339752407153,0.8914837218014526,0.8921307532360967,0.17606602475928473,0.17606602475928473
